City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,80.65,78,75,10.36,broken clouds
1,Sitka,US,57.0531,-135.33,44.49,76,75,8.05,moderate rain
2,Vaini,TO,-21.2,-175.2,77.16,78,75,12.66,broken clouds
3,Yellowknife,CA,62.456,-114.3525,30.72,69,75,9.22,broken clouds
4,Hilo,US,19.7297,-155.09,90.28,83,100,11.5,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,48.31,46,0,32.21,clear sky
6,Wanning,CN,18.8003,110.3967,74.61,89,98,8.39,overcast clouds
7,Pecos,US,31.4229,-103.4932,85.3,23,0,9.22,clear sky
8,Albany,US,42.6001,-73.9662,52.45,56,3,3.74,clear sky
9,College,US,64.8569,-147.8028,35.55,93,100,6.91,light snow
10,Mar Del Plata,AR,-38.0023,-57.5575,54.09,83,75,18.41,light rain
11,Lebu,CL,-37.6167,-73.65,49.06,79,0,16.04,clear sky
12,Barrow,US,71.2906,-156.7887,26.62,93,100,26.46,light snow
13,Busselton,AU,-33.65,115.3333,58.64,69,67,9.64,broken clouds
14,Moussoro,TD,13.6408,16.4901,84.49,21,70,8.48,broken clouds
15,Kodiak,US,57.79,-152.4072,51.31,43,0,12.66,clear sky
16,Itarema,BR,-2.9248,-39.9167,78.48,78,82,18.77,broken clouds
17,Naryan-Mar,RU,67.6713,53.087,34.56,76,99,18.28,light snow
18,Zhanaozen,KZ,43.3,52.8,52.07,57,100,21.43,overcast clouds
19,Dingle,PH,10.9995,122.6711,81.95,82,98,6.22,overcast clouds
20,Chokurdakh,RU,70.6333,147.9167,11.77,95,100,11.05,overcast clouds
21,Campbell River,CA,50.0163,-125.2446,53.6,58,100,4.61,overcast clouds
22,Grandview,US,38.8858,-94.533,81.25,30,0,13.8,clear sky
23,Marawi,PH,7.9986,124.2928,76.24,78,98,0.45,overcast clouds
24,Bengkulu,ID,-3.8004,102.2655,76.39,90,100,5.01,overcast clouds
25,Georgetown,MY,5.4112,100.3354,78.75,90,40,5.01,light rain
26,Fomboni,KM,-12.28,43.7425,77.23,78,6,12.64,clear sky
27,Teteven,BG,42.9167,24.2667,47.61,67,16,4.81,few clouds
28,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,15,0,5.75,clear sky
29,Gushikawa,JP,26.3544,127.8686,78.03,97,75,6.91,moderate rain
30,Kaitangata,NZ,-46.2817,169.8464,59.79,40,12,0.69,few clouds
31,Norman Wells,CA,65.282,-126.8329,26.64,86,100,4.61,light snow
32,East London,ZA,-33.0153,27.9116,68.32,87,100,8.5,light rain
33,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,71,0,5.01,clear sky
34,Ushuaia,AR,-54.8,-68.3,47.86,46,40,4.61,scattered clouds
35,Qaqortoq,GL,60.7167,-46.0333,38.46,92,100,8.5,overcast clouds
36,Kirkuk,IQ,35.4681,44.3922,71.2,54,100,13.62,overcast clouds
37,Okhotsk,RU,59.3833,143.3,23.76,50,36,15.55,scattered clouds
38,Tuatapere,NZ,-46.1333,167.6833,58.46,48,14,3.15,few clouds
39,Hermanus,ZA,-34.4187,19.2345,51.8,82,76,10.69,broken clouds
40,Mataura,NZ,-46.1927,168.8643,56.48,32,17,3.31,few clouds
41,Isangel,VU,-19.55,169.2667,76.68,73,99,17.22,overcast clouds
42,Abu Kamal,SY,34.4506,40.9171,69.58,58,92,4.54,overcast clouds
43,Provideniya,RU,64.3833,-173.3,35.29,92,89,6.96,overcast clouds
44,Hobart,AU,-42.8794,147.3294,64.26,94,75,6.91,broken clouds
45,Rikitea,PF,-23.1203,-134.9692,70.7,74,1,23.38,clear sky
46,Victoria,HK,22.2855,114.1577,76.95,83,97,1.01,overcast clouds
47,Plettenberg Bay,ZA,-34.0527,23.3716,60.82,85,94,1.88,overcast clouds
48,Ishinomaki,JP,38.4167,141.3,59.0,55,55,7.72,broken clouds
49,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,75,6.91,broken clouds
50,Nikolskoye,RU,59.7035,30.7861,42.69,95,94,3.2,overcast clouds
51,Salalah,OM,17.0151,54.0924,75.34,74,9,2.71,clear sky
52,Saskylakh,RU,71.9167,114.0833,13.98,94,100,4.43,overcast clouds
53,Zubtsov,RU,56.1753,34.5894,36.79,95,88,3.29,overcast clouds
54,Bonavista,CA,48.6499,-53.1147,51.87,75,100,12.03,overcast clouds
55,Jamestown,US,42.097,-79.2353,58.59,27,0,10.36,clear sky
56,Ahipara,NZ,-35.1667,173.1667,62.98,59,72,11.18,broken clouds
57,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,38,8.68,scattered clouds
58,Teeli,RU,51.0333,90.2333,32.95,67,85,1.01,overcast clouds
59,Arlit,NE,18.7369,7.3853,77.54,18,16,12.75,few clouds
60,Miles City,US,46.4083,-105.8406,58.17,51,100,19.57,overcast clouds
61,Severo-Kurilsk,RU,50.6789,156.125,40.59,72,90,8.37,overcast clouds
62,Thompson,CA,55.7435,-97.8558,37.56,65,100,14.97,light snow
63,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,88,75,27.2,mist
64,Yerbogachen,RU,61.2767,108.0108,26.65,97,81,3.58,broken clouds
65,Wichian Buri,TH,15.6578,101.106,74.39,87,50,1.03,scattered clouds
66,New Norfolk,AU,-42.7826,147.0587,65.7,90,100,0.69,light rain
67,Nampula,MZ,-15.1165,39.2666,67.95,83,0,9.22,clear sky
68,Minab,IR,27.1467,57.0801,71.92,68,0,0.0,clear sky
69,Timra,SE,62.487,17.3257,37.08,93,100,2.3,fog
70,Fairbanks,US,64.8378,-147.7164,35.56,93,100,6.91,light snow
71,Russell,US,32.3502,-85.1999,60.08,67,0,0.0,clear sky
72,Atuona,PF,-9.8,-139.0333,76.64,67,22,15.52,few clouds
73,Ekhabi,RU,53.5102,142.9671,33.4,60,97,11.99,overcast clouds
74,Chabahar,IR,25.2919,60.643,77.74,64,0,7.18,clear sky
75,Carnarvon,AU,-24.8667,113.6333,68.83,68,7,13.58,clear sky
76,Qaanaaq,GL,77.484,-69.3632,-0.87,61,9,8.12,clear sky
77,Bredasdorp,ZA,-34.5322,20.0403,54.05,87,83,4.29,broken clouds
78,Kempele,FI,64.9131,25.5034,38.12,100,100,5.75,overcast clouds
79,Bluff,NZ,-46.6,168.3333,56.8,64,28,11.86,scattered clouds
80,Aykhal,RU,66.0,111.5,16.45,98,94,12.24,overcast clouds
81,Bogorodskoye,RU,56.55,37.8833,37.94,90,100,3.0,overcast clouds
82,Butaritari,KI,3.0707,172.7902,81.27,73,18,14.54,few clouds
83,Tiksi,RU,71.6872,128.8694,13.17,95,94,5.48,overcast clouds
84,Constantine,DZ,36.365,6.6147,63.81,45,0,3.44,clear sky
85,Muros,ES,42.7762,-9.0603,63.09,88,75,23.24,broken clouds
86,Kuandian,CN,40.7286,124.7847,52.9,89,98,2.44,overcast clouds
87,Diego De Almagro,CL,-26.3667,-70.05,61.99,34,0,2.91,clear sky
88,Evensk,RU,61.95,159.2333,14.95,73,78,7.92,broken clouds
89,Srednekolymsk,RU,67.45,153.6833,13.91,95,100,10.6,light snow
90,Aktau,KZ,43.65,51.2,54.75,61,96,28.14,overcast clouds
91,Nanortalik,GL,60.1432,-45.2371,41.04,88,100,15.14,overcast clouds
92,Cape Town,ZA,-33.9258,18.4232,65.37,63,0,25.32,clear sky
