City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
2,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
4,Hilo,US,90.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
6,Wanning,CN,74.61,overcast clouds,18.8003,110.3967,Paradise Hotel
7,Pecos,US,85.3,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
14,Moussoro,TD,84.49,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
16,Itarema,BR,78.48,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
19,Dingle,PH,81.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
22,Grandview,US,81.25,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
23,Marawi,PH,76.24,overcast clouds,7.9986,124.2928,Derogongan Residence
24,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
25,Georgetown,MY,78.75,light rain,5.4112,100.3354,Cititel Penang
26,Fomboni,KM,77.23,clear sky,-12.28,43.7425,Auberge les abou
29,Gushikawa,JP,78.03,moderate rain,26.3544,127.8686,Kirari Guest House
32,East London,ZA,68.32,light rain,-33.0153,27.9116,Tu Casa
33,Los Llanos De Aridane,ES,68.13,clear sky,28.6585,-17.9182,Valle Aridane
36,Kirkuk,IQ,71.2,overcast clouds,35.4681,44.3922,Cihad Oteli
41,Isangel,VU,76.68,overcast clouds,-19.55,169.2667,Tanna Lodge
42,Abu Kamal,SY,69.58,overcast clouds,34.4506,40.9171,البوكمال
45,Rikitea,PF,70.7,clear sky,-23.1203,-134.9692,People ThankYou
46,Victoria,HK,76.95,overcast clouds,22.2855,114.1577,Mini Central
51,Salalah,OM,75.34,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
57,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
59,Arlit,NE,77.54,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
65,Wichian Buri,TH,74.39,scattered clouds,15.6578,101.106,Mit Sali Hotel
67,Nampula,MZ,67.95,clear sky,-15.1165,39.2666,Ruby Backpackers
68,Minab,IR,71.92,clear sky,27.1467,57.0801,Bam campground
72,Atuona,PF,76.64,few clouds,-9.8,-139.0333,Villa Enata
74,Chabahar,IR,77.74,clear sky,25.2919,60.643,هتل گدروشیا
75,Carnarvon,AU,68.83,clear sky,-24.8667,113.6333,Hospitality Carnarvon
82,Butaritari,KI,81.27,few clouds,3.0707,172.7902,Isles Sunset Lodge
94,Hithadhoo,MV,81.05,overcast clouds,-0.6,73.0833,Scoop Guest House
95,Mamallapuram,IN,78.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
98,Ulladulla,AU,71.96,scattered clouds,-35.35,150.4667,Sandpiper Motel
101,Buta,CD,69.87,overcast clouds,2.7858,24.73,Hôtel BOPANDO
104,Ambilobe,MG,67.26,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
105,Arraial Do Cabo,BR,72.23,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
109,Bubaque,GW,81.43,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
113,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,Hotel Gaudi
115,Tarauaca,BR,80.15,light rain,-8.1614,-70.7656,Flat Temporada
116,San Patricio,US,80.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
117,Bac Lieu,VN,80.04,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
118,Kapaa,US,87.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
120,Katsuura,JP,72.75,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
